"Part","Code","Criterion","Points"
"Part A","A1","county_raw correctly read from whp_raw_sample.csv with readr::read_csv (or equivalent) and at least two structural checks run","0.5"
"Part A","A2","county_summary (or similar) created from county_raw with counts of rows, NAs in whp, and min and max of cell_area_km2","0.5"
"Part A","A3","e object created by quantile() on county_raw$whp with probs c(0, .25, .50, .75, .90, .95, .99, 1) and na.rm = TRUE","0.5"
"Part A","A4","county_cats created from county_raw with Category assigned by case_when() using edges e[...] and stored as an ordered factor in the specified risk order","0.5"
"Part A","A5","prob_tbl created from county_cats with group_by(Category), summarize() area_km2 and n_cells, mutate() Probability = area_km2 / sum(area_km2), and select(Category, Probability, area_km2, n_cells) with probabilities summing approximately to 1","0.5"
"Part B","B1","p_high_exact computed with plnorm() for a 10 km threshold using High Mean log and SD log with lower.tail = FALSE and value displayed","0.5"
"Part B","B2","q95_high computed with qlnorm(p = 0.95, ...) using High Mean log and SD log and value displayed","0.5"
"Part B","B3","d_3 and d_10 computed with dlnorm() at 3 km and 10 km using High Mean log and SD log and both values printed for comparison","0.5"
"Part B","B4","High_Lognorm vector of length 450 generated with rlnorm() using High parameters and fixed seed, fast_growing_count computed as number of values >= 10, and histogram of High_Lognorm produced with clear axis labels","1.0"
"Part C","C1","labels character vector created with all seven Category names from Table 1 in correct order and spelling","0.25"
"Part C","C2","prob numeric vector created from Table 1 Probability column as proportions that sum to 1 and aligned with labels order","0.25"
"Part C","C3","meanlog and sdlog numeric vectors created from Mean log and SD log columns in Table 1 and aligned with labels order and checked for matching lengths","0.25"
"Part C","C4","Global constants N, S, and k set to specified number of ignitions per season, number of simulated seasons, and fast run threshold in km, with values shown","0.25"
"Part C","C5","idx created using sample.int() or sample() of length N with replace = TRUE and prob = prob and table(labels[idx]) or similar used to show counts per category","0.5"
"Part C","C6","d vector created with rlnorm(n = N, meanlog = meanlog[idx], sdlog = sdlog[idx]) and inspected with head() or summary()","0.5"
"Part C","C7","fast_flags_one logical vector defined by d >= k and fast_count_one computed with sum(fast_flags_one) and optionally mean(fast_flags_one)","0.5"
"Part C","C8","Bundled one season block using { } that samples idx, simulates d, returns sum(d >= k), and assigns result to fast_count_one as a numeric scalar","0.5"
"Part C","C9","counts_fast_mix created with replicate(S, { one season block }) using a fixed seed, summary(counts_fast_mix) shown, mean(counts_fast_mix) computed as expected fast runs per season, and mean(counts_fast_mix >= 50) computed as Monte Carlo estimate of P(T >= 50)","1.0"
"Part C","C10","Histogram of counts_fast_mix created (base R or ggplot2) with clear axes and a visible vertical reference at 50 fast fires","1.0"
